UniProtKB:A0A075B6P5,20-120
UniProtKB:Q14973,1-349
UniProtKB:Q14974,1-876
UniProtKB:Q14980,1-2115,Thr-2055,MOD:00047
UniProtKB:Q14980,1-2115
UniProtKB:Q14982,28-322,Asn-322,MOD:00092
UniProtKB:Q14993,24-1142,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14993,24-1142,Lys-null,MOD:01914
UniProtKB:Q14993,24-1142,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q14993,24-1142,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14993,24-1142,Lys-null,MOD:00162
UniProtKB:Q14993,24-1142,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14993,24-1142,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q14993,24-1142,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q14993,24-1142,Lys-null,MOD:00037
UniProtKB:Q14993,24-1142,Pro-null,MOD:00039
UniProtKB:Q14993,24-1142,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q14993,24-1142
UniProtKB:Q14994-1,1-352
UniProtKB:Q14994-2,1-352
UniProtKB:Q14995,1-579
UniProtKB:Q14997,1-1843
UniProtKB:Q14999,1-1698
UniProtKB:Q149N8,1-1683
UniProtKB:Q14C86,1-1478
UniProtKB:Q14CB8,1-494
UniProtKB:Q14CN2,?-919
UniProtKB:Q14CN2,22-?
UniProtKB:Q14CN2,22-919
UniProtKB:Q14CN4,1-511
UniProtKB:Q14CW9,1-347
UniProtKB:Q14D33,1-572
UniProtKB:Q15003,1-741
UniProtKB:Q15003,1-741,Thr-null,MOD:00047
UniProtKB:Q15003,1-741,Ser-570,MOD:00046
UniProtKB:Q15004,1-111,Lys-15/Lys-24,MOD:01148
UniProtKB:Q15004,1-111
UniProtKB:Q15005,2-226
UniProtKB:Q15007,1-396
UniProtKB:Q15008,1-389
UniProtKB:Q15011,1-391
UniProtKB:Q15014,1-288
UniProtKB:Q15018,1-415
UniProtKB:Q15019,1-361
UniProtKB:Q15021,1-1401,Ser-null,MOD:00046
UniProtKB:Q15021,1-1401
UniProtKB:Q15021,1-1401,Thr-1339/Thr-1384/Thr-1389,MOD:00047
UniProtKB:Q15022,1-739
UniProtKB:Q15022,1-739,Lys-75,MOD:01149
UniProtKB:Q15024,2-291
UniProtKB:Q15025,1-636
UniProtKB:Q15029,1-972
UniProtKB:Q15031,1-?
UniProtKB:Q15034,1-1050
UniProtKB:Q15040,1-202
UniProtKB:Q15042,2-981
UniProtKB:Q15043,31-492
UniProtKB:Q15046,2-597
UniProtKB:Q15047,1-1291
UniProtKB:Q15051,1-598
UniProtKB:Q15052,1-776
UniProtKB:Q15054,2-466
UniProtKB:Q15056,2-248
UniProtKB:Q15058,1-1648
UniProtKB:Q15061,1-677
UniProtKB:Q15067-1,1-660
UniProtKB:Q15067-2,1-660
UniProtKB:Q15075,1-1411
UniProtKB:Q15077,1-328
UniProtKB:Q15078,2-98,XXX-2,MOD:00068
UniProtKB:Q15078,2-307,XXX-2,MOD:00068
UniProtKB:Q15078,99-307
UniProtKB:Q15080,1-339,Ser-315,MOD:00046|Thr-154,MOD:00047
UniProtKB:Q15080,1-339
UniProtKB:Q15084,20-440
UniProtKB:Q15084,20-440,XXX-null,MOD:00696
UniProtKB:Q15102,2-231
UniProtKB:Q15109,23-404
UniProtKB:Q15113,26-449
UniProtKB:Q15116,21-288,Tyr-223/Tyr-248,MOD:00048
UniProtKB:Q15116,21-288
UniProtKB:Q15118,29-436
UniProtKB:Q15119,?-407
UniProtKB:Q15120,?-406
UniProtKB:Q15121,1-130
UniProtKB:Q15125,2-230
UniProtKB:Q15126,2-192
UniProtKB:Q15139,1-912
UniProtKB:Q15147,2-1175
UniProtKB:Q15149,1-2395
UniProtKB:Q15149,1-4684
UniProtKB:Q15149,2396-4684
UniProtKB:Q15154,1-2024
UniProtKB:Q15155,32-1222
UniProtKB:Q15165,1-354
UniProtKB:Q15166,2-354
UniProtKB:Q15172,1-486
UniProtKB:Q15173,1-497
UniProtKB:Q15173,1-497,Ser-368,MOD:00046
UniProtKB:Q15181,1-289
UniProtKB:Q15185,1-160
UniProtKB:Q15223,31-517
UniProtKB:Q15238,35-335
UniProtKB:Q15262,27-1439
UniProtKB:Q15269,1-919
UniProtKB:Q15274,1-297
UniProtKB:Q15276,2-862
UniProtKB:Q15283,2-850
UniProtKB:Q15286,1-201
UniProtKB:Q15286,1-201,Cys-200/Cys-201,MOD:00113
UniProtKB:Q15287,1-305
UniProtKB:Q15291,1-538
UniProtKB:Q15293,30-331,XXX-null,MOD:00696
UniProtKB:Q15293,30-331
UniProtKB:Q15303-1,26-641
UniProtKB:Q15303-1,26-1308,Tyr-1056/Tyr-1188/Tyr-1242,MOD:00048
UniProtKB:Q15303-1,26-1308
UniProtKB:Q15303-1,642-1308,Tyr-1056/Tyr-1188/Tyr-1242,MOD:00048
UniProtKB:Q15303-1,676-1308,Tyr-1056/Tyr-1188/Tyr-1242,MOD:00048
UniProtKB:Q15303-2,26-1298
UniProtKB:Q15303-2,26-1298,Tyr-1046/Tyr-1178/Tyr-1232,MOD:00048
UniProtKB:Q15303-3,26-641
UniProtKB:Q15303-3,26-1292
UniProtKB:Q15303-3,26-1292,Tyr-1172/Tyr-1226,MOD:00048
UniProtKB:Q15303-3,642-1292,Tyr-1172/Tyr-1226,MOD:00048
UniProtKB:Q15303-3,676-1292,Tyr-1172/Tyr-1226,MOD:00048
UniProtKB:Q15306,1-451
UniProtKB:Q15311,2-655
UniProtKB:Q15323,1-416
UniProtKB:Q15327,1-319
UniProtKB:Q15329,1-346
UniProtKB:Q15345,1-812
UniProtKB:Q15349,1-733,Ser-360/Ser-377,MOD:00046|Thr-570,MOD:00047
UniProtKB:Q15349,1-733,Ser-218/Ser-360/Ser-377,MOD:00046|Thr-570,MOD:00047
UniProtKB:Q15349,1-733,Ser-218/Ser-360/Ser-377/Ser-730,MOD:00046|Thr-356/Thr-570,MOD:00047
UniProtKB:Q15349,1-733
UniProtKB:Q15361,1-905
UniProtKB:Q15363,21-201
UniProtKB:Q15365,1-356
UniProtKB:Q15366,1-365
UniProtKB:Q15369,1-112
UniProtKB:Q15370,1-118
UniProtKB:Q15375,28-998,Tyr-608/Tyr-614,MOD:00048
UniProtKB:Q15375,28-998
UniProtKB:Q15382,1-181
UniProtKB:Q15386,1-1083
UniProtKB:Q15388,1-145,Lys-null,MOD:01148
UniProtKB:Q15388,1-145
UniProtKB:Q15389,16-498
UniProtKB:Q15391,1-338
UniProtKB:Q15392,23-516
UniProtKB:Q15393,1-1217
UniProtKB:Q15399,25-786
UniProtKB:Q15404,2-277
UniProtKB:Q15406-1,1-480
UniProtKB:Q15406-2,1-480
UniProtKB:Q15406-3,1-480
UniProtKB:Q15406-4,1-480
UniProtKB:Q15406-5,1-480
UniProtKB:Q15413,1-4870
UniProtKB:Q15418,1-735
UniProtKB:Q15418,1-735,Ser-363/Ser-380,MOD:00046|Thr-573,MOD:00047
UniProtKB:Q15418,1-735,Ser-221/Ser-363/Ser-380/Ser-732,MOD:00046|Thr-359/Thr-573,MOD:00047
UniProtKB:Q15418,1-735,Ser-221/Ser-363/Ser-380,MOD:00046|Thr-573,MOD:00047
UniProtKB:Q15427,2-424
UniProtKB:Q15428,1-464
UniProtKB:Q15431,1-976
UniProtKB:Q15436,1-765
UniProtKB:Q15436,1-765,Ser-742,MOD:00046|Thr-747,MOD:00047
UniProtKB:Q15438,1-398
UniProtKB:Q15459,1-793
UniProtKB:Q15464,1-509,Ser-null,MOD:00046
UniProtKB:Q15464,1-509
UniProtKB:Q15465,24-197,XXX-24,MOD:00069|XXX-197,MOD:00314
UniProtKB:Q15465,24-197,XXX-197,MOD:00314
UniProtKB:Q15465,24-462
UniProtKB:Q15465,24-462,Lys-null,MOD:01148
UniProtKB:Q15465,24-462,XXX-278,MOD:00160|Cys-198,MOD:00798
UniProtKB:Q15465,24-462,Cys-198,MOD:00798
UniProtKB:Q15465,34-?
UniProtKB:Q15465,198-462,XXX-278,MOD:00160
UniProtKB:Q15465,198-462,XXX-278,MOD:00160|Lys-null,MOD:01148
UniProtKB:Q15466,1-257
UniProtKB:Q15477,1-1246
UniProtKB:Q15485,26-313
UniProtKB:Q15517,33-529
UniProtKB:Q15526,1-300
UniProtKB:Q15528,1-200
UniProtKB:Q15542,1-800
UniProtKB:Q15543,1-124
UniProtKB:Q15544,1-211
UniProtKB:Q15545,1-349
UniProtKB:Q15554,1-500
UniProtKB:Q15561,1-434
UniProtKB:Q15562,1-447
UniProtKB:Q15569,1-626
UniProtKB:Q15572,1-869
UniProtKB:Q15573,1-450
UniProtKB:Q15582,24-683
UniProtKB:Q15583,1-401
UniProtKB:Q15596,1-1464
UniProtKB:Q15596,869-1464
UniProtKB:Q15612,1-314
UniProtKB:Q15615,1-310
UniProtKB:Q15617,1-311
UniProtKB:Q15619,1-314
UniProtKB:Q15620,1-311
UniProtKB:Q15622,1-319
UniProtKB:Q15628,1-312
UniProtKB:Q15629,2-374
UniProtKB:Q15631,1-228
UniProtKB:Q15633,1-366
UniProtKB:Q15637,2-639
UniProtKB:Q15642,1-601
UniProtKB:Q15643,1-1979
UniProtKB:Q15646,1-514
UniProtKB:Q15648,1-1581
UniProtKB:Q15652,1-2540
UniProtKB:Q15653,1-356,Ser-19/Ser-23,MOD:00046
UniProtKB:Q15653,1-356,Ser-19/Ser-23,MOD:00046|Lys-null,MOD:01148
UniProtKB:Q15653,1-356
UniProtKB:Q15661,31-275
UniProtKB:Q15669,1-188
UniProtKB:Q15672,1-202
UniProtKB:Q15691,2-268
UniProtKB:Q15696,1-482
UniProtKB:Q15700,1-870
UniProtKB:Q15717,2-326,Ser-158/Ser-221,MOD:00046
UniProtKB:Q15717,2-326
UniProtKB:Q15717,2-326,Ser-221/Ser-318,MOD:00046
UniProtKB:Q15722,1-352
UniProtKB:Q15723,1-593
UniProtKB:Q15726,68-121
UniProtKB:Q15735,1-1006
UniProtKB:Q15738,1-373
UniProtKB:Q15743,1-365
UniProtKB:Q15746,1-1914,Ser-1208/Ser-1759,MOD:00046
UniProtKB:Q15746,1-1914
UniProtKB:Q15750,1-504
UniProtKB:Q15751,1-4861
UniProtKB:Q15758,1-541
UniProtKB:Q15759,1-364
UniProtKB:Q15759,1-364,Thr-180,MOD:00047|Tyr-182,MOD:00048
UniProtKB:Q15761,1-445
UniProtKB:Q15762,19-336
UniProtKB:Q15768,28-340,Tyr-318/Tyr-323/Tyr-337,MOD:00048
UniProtKB:Q15768,28-340
UniProtKB:Q15771,1-200
UniProtKB:Q15771,1-200,Cys-199/Cys-200,MOD:00113
UniProtKB:Q15776,1-578
UniProtKB:Q15788,1-1441
UniProtKB:Q15788,868-1441
UniProtKB:Q15796,2-463
UniProtKB:Q15796,2-467,Lys-null,MOD:01148
UniProtKB:Q15796,2-467
UniProtKB:Q15796,2-467,Ser-465/Ser-467,MOD:00046
UniProtKB:Q15796,2-467,Ser-465/Ser-467,MOD:00046|Thr-220,MOD:00047
UniProtKB:Q15797,1-465
UniProtKB:Q15797,1-465,Ser-463/Ser-465,MOD:00046
UniProtKB:Q15797,1-465,Lys-null,MOD:01148
UniProtKB:Q15800,1-293
UniProtKB:Q15811,1-1721
UniProtKB:Q15813,1-527
UniProtKB:Q15814,1-346
UniProtKB:Q15819,2-145
UniProtKB:Q15822,27-529
UniProtKB:Q15825,26-494
UniProtKB:Q15831,1-430
UniProtKB:Q15833,1-593
UniProtKB:Q15835,1-560,XXX-560,MOD:00111
UniProtKB:Q15836,2-100
UniProtKB:Q15842,1-424
UniProtKB:Q15843,1-76,XXX-76,MOD:00134
UniProtKB:Q15843,1-76
UniProtKB:Q15843,1-76,XXX-76,MOD:00211
UniProtKB:Q15843,1-76,XXX-567,MOD:01150
UniProtKB:Q15843,1-76,XXX-1,MOD:00058|XXX-76,MOD:00211
UniProtKB:Q15843,1-76,XXX-76,MOD:01150
UniProtKB:Q15843,1-88
UniProtKB:Q15843,77-88
UniProtKB:Q15847,1-76
UniProtKB:Q15848,19-244
UniProtKB:Q15849,1-920
UniProtKB:Q15858,1-1988
UniProtKB:Q15878,1-2313
UniProtKB:Q15904,42-470
UniProtKB:Q15906,1-364
UniProtKB:Q15907,2-215,Cys-214/Cys-215,MOD:00113
UniProtKB:Q15907,2-215
UniProtKB:Q15910,1-746
UniProtKB:Q15911,1-3703
UniProtKB:Q15928,1-474
UniProtKB:Q15935,1-545
UniProtKB:Q15937,1-498
UniProtKB:Q15940,1-193
UniProtKB:Q15973,1-351
UniProtKB:Q16099,21-956
UniProtKB:Q16134,34-617
UniProtKB:Q16143,1-134
UniProtKB:Q16181,2-437
UniProtKB:Q16186,2-407
UniProtKB:Q16222,1-522
UniProtKB:Q16254,2-413
UniProtKB:Q16270,27-282,XXX-null,MOD:00696
UniProtKB:Q16270,27-282
UniProtKB:Q16280,1-664
UniProtKB:Q16288,32-839
UniProtKB:Q16322,1-511
UniProtKB:Q16348,1-729
UniProtKB:Q16363,25-1823
UniProtKB:Q16394,1-250
UniProtKB:Q16394,1-497
UniProtKB:Q16394,1-746
UniProtKB:Q16401,2-504
UniProtKB:Q16445,20-453
UniProtKB:Q16478,15-980
UniProtKB:Q16512,2-942
UniProtKB:Q16512,2-942,Thr-774,MOD:00047
UniProtKB:Q16513,1-984,Thr-816,MOD:00047
UniProtKB:Q16513,1-984
UniProtKB:Q16514,1-161
UniProtKB:Q16515,1-512
UniProtKB:Q16518,2-533,XXX-112,MOD:00069
UniProtKB:Q16520,1-125
UniProtKB:Q16526,1-586,Ser-null,MOD:00046
UniProtKB:Q16526,1-586,Ser-null,MOD:00046|Lys-null,MOD:01148
UniProtKB:Q16526,1-586
UniProtKB:Q16531,1-1140
UniProtKB:Q16533,1-368
UniProtKB:Q16537,1-467
UniProtKB:Q16539,2-360
UniProtKB:Q16539,2-360,Thr-180,MOD:00047|Tyr-182,MOD:00048
UniProtKB:Q16540,1-153
UniProtKB:Q16543,1-378
UniProtKB:Q16552,24-155
UniProtKB:Q16553,21-101,XXX-101,MOD:00105
UniProtKB:Q16555,1-572,Ser-518/Ser-522,MOD:00046|Thr-509/Thr-514,MOD:00047
UniProtKB:Q16555,1-572,Tyr-null,MOD:00048
UniProtKB:Q16555,1-572
UniProtKB:Q16555,1-572,Ser-522,MOD:00046
UniProtKB:Q16557,35-428
UniProtKB:Q16558,2-191
UniProtKB:Q16560,1-246
UniProtKB:Q16566,1-473
UniProtKB:Q16566,1-473,Ser-12/Ser-13,MOD:00046
UniProtKB:Q16570,1-336
UniProtKB:Q16572,1-532
UniProtKB:Q16576,2-425
UniProtKB:Q16581,1-482
UniProtKB:Q16584,1-847
UniProtKB:Q16587,1-644
UniProtKB:Q16594,1-264
UniProtKB:Q16595,1-41
UniProtKB:Q16595,1-210
UniProtKB:Q16595,42-210
UniProtKB:Q16595,81-210
UniProtKB:Q16602,23-461
UniProtKB:Q16610,20-540
UniProtKB:Q16611,1-211
UniProtKB:Q16613,1-207
UniProtKB:Q16619,1-201
UniProtKB:Q16620,32-822,Tyr-490/Tyr-670/Tyr-674/Tyr-675/Tyr-785,MOD:00048
UniProtKB:Q16620,32-822
UniProtKB:Q16621,1-373
UniProtKB:Q16623,?-288
UniProtKB:Q16623,1-?
UniProtKB:Q16623,1-288
UniProtKB:Q16625,1-320
UniProtKB:Q16625,1-522
UniProtKB:Q16625,321-522
UniProtKB:Q16629,1-238
UniProtKB:Q16630,1-490,Tyr-null/Tyr-766,MOD:00048
UniProtKB:Q16630,1-490
UniProtKB:Q16635,1-292
UniProtKB:Q16637,2-294
UniProtKB:Q16644,1-382
UniProtKB:Q16644,1-382,Ser-null,MOD:00046|Thr-null,MOD:00047
UniProtKB:Q16647,1-500
UniProtKB:Q16649,1-462
UniProtKB:Q16651,33-44
UniProtKB:Q16651,45-322
UniProtKB:Q16654,?-411
UniProtKB:Q16656,1-503
UniProtKB:Q16658,2-493
UniProtKB:Q16659,1-721,XXX-1,MOD:00913
UniProtKB:Q16659,1-721
UniProtKB:Q16659,1-721,Ser-189,MOD:00046
UniProtKB:Q16659,1-721,Ser-684/Ser-688/Ser-705,MOD:00046|Thr-698,MOD:00047
UniProtKB:Q16661,97-112
UniProtKB:Q16665,1-826,XXX-402/XXX-564,MOD:01024
UniProtKB:Q16665,1-826,Ser-797,MOD:00046|Tyr-565,MOD:00048
UniProtKB:Q16665,1-826,XXX-803,MOD:01688
UniProtKB:Q16665,1-826
UniProtKB:Q16666,1-785
UniProtKB:Q16671,18-573
UniProtKB:Q16678,1-543
UniProtKB:Q16690,1-384
UniProtKB:Q16695,2-136,XXX-5,MOD:00084
UniProtKB:Q16695,2-136
UniProtKB:Q16695,2-136,Lys-5,MOD:00083
UniProtKB:Q16696,1-494
UniProtKB:Q16698,35-335
UniProtKB:Q16706,1-1144
UniProtKB:Q16718,2-116
UniProtKB:Q16719,1-465,XXX-276,MOD:00128
UniProtKB:Q16720,1-1220
UniProtKB:Q16739,1-394
UniProtKB:Q16760,1-1214
UniProtKB:Q16762,2-297
UniProtKB:Q16763,1-222,XXX-95,MOD:00211
UniProtKB:Q16763,1-222
UniProtKB:Q16769,29-361
UniProtKB:Q16772,2-222
UniProtKB:Q16773,1-422,XXX-247,MOD:00128
UniProtKB:Q16774,2-197
UniProtKB:Q16775-2,14-308
UniProtKB:Q16777,2-129,XXX-12,MOD:00078
UniProtKB:Q16777,2-129,Lys-120,MOD:01148
UniProtKB:Q16777,2-129,XXX-30,MOD:00078
UniProtKB:Q16777,2-129,XXX-12,MOD:00077
UniProtKB:Q16777,2-129,XXX-4,MOD:00077
UniProtKB:Q16777,2-129,Lys-6,MOD:00064
UniProtKB:Q16777,2-129
UniProtKB:Q16777,2-129,XXX-4,MOD:00078
UniProtKB:Q16777,2-129,XXX-30,MOD:00077
UniProtKB:Q16777,2-129,XXX-4,MOD:00076
UniProtKB:Q16777,2-129,Lys-null,MOD:00064
UniProtKB:Q16778,2-126
UniProtKB:Q16778,2-126,Lys-6,MOD:00064
UniProtKB:Q16778,2-126,Lys-null,MOD:00064
UniProtKB:Q16778,2-126,Lys-121,MOD:01148
UniProtKB:Q16778,2-126,Lys-21,MOD:00064
UniProtKB:Q16778,2-126,Lys-120,MOD:01148
UniProtKB:Q16778,2-126,Lys-19,MOD:00064
UniProtKB:Q16778,2-126,Lys-13,MOD:00064
UniProtKB:Q16787,?-3333
UniProtKB:Q16787,36-?
UniProtKB:Q16787,36-3333
UniProtKB:Q16790,38-459
UniProtKB:Q16795,36-377
UniProtKB:Q16816,2-387
UniProtKB:Q16822,33-640
UniProtKB:Q16828,1-381
UniProtKB:Q16829,1-419
UniProtKB:Q16831,1-310
UniProtKB:Q16832,22-855
UniProtKB:Q16836,13-314
UniProtKB:Q16842,1-350
UniProtKB:Q16850,1-503
UniProtKB:Q16851,1-508
UniProtKB:Q16853,2-763
UniProtKB:Q16854,40-277
UniProtKB:Q16864,1-119
UniProtKB:Q16873,1-150
UniProtKB:Q16875,1-520
UniProtKB:Q16877,2-469
UniProtKB:Q16878,1-200
UniProtKB:Q16880,21-541
UniProtKB:Q16881,1-649
UniProtKB:Q16890,1-204
UniProtKB:Q16891,34-758
UniProtKB:Q17R88
UniProtKB:Q17R89,1-818
UniProtKB:Q17RB8,1-773
UniProtKB:Q17RR3,18-467
UniProtKB:Q17RS7,1-908
UniProtKB:Q17RW2,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q17RW2,Lys-null,MOD:00162
UniProtKB:Q17RW2,Pro-null,MOD:00039
UniProtKB:Q17RW2,Lys-null,MOD:00037
UniProtKB:Q17RW2,Lys-null,MOD:01914
UniProtKB:Q17RW2,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q17RW2
UniProtKB:Q17RW2,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q17RW2,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q17RW2,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q17RW2,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q17RW2,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q17RW2,?-1714,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q17RW2,?-1714,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q17RW2,?-1714,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q17RW2,?-1714
UniProtKB:Q17RW2,?-1714,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q17RW2,?-1714,Lys-null,MOD:00162
UniProtKB:Q17RW2,?-1714,Pro-null,MOD:00039
UniProtKB:Q17RW2,?-1714,Lys-null,MOD:01914
UniProtKB:Q17RW2,?-1714,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q17RW2,?-1714,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q17RW2,?-1714,Lys-null,MOD:00037
UniProtKB:Q17RW2,?-1714,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q17RW2,36-1714,Lys-null,MOD:00037
UniProtKB:Q17RW2,36-1714,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q17RW2,36-1714
UniProtKB:Q17RW2,36-1714,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q17RW2,36-1714,Lys-null,MOD:00162
UniProtKB:Q17RW2,36-1714,Lys-null,MOD:01914
UniProtKB:Q17RW2,36-1714,Pro-null,MOD:00039
UniProtKB:Q17RW2,36-1714,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q17RW2,36-1714,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q17RW2,36-1714,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q17RW2,36-1714,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q17RW2,36-1714,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q17RY6,18-138,XXX-138,MOD:00097
UniProtKB:Q1EHB4,1-618
UniProtKB:Q1ZYL8,16-232
UniProtKB:Q24JP5,36-1023
UniProtKB:Q24JP5,36-1023,XXX-null,MOD:00696
UniProtKB:Q29718,25-362
UniProtKB:Q29836,25-362
UniProtKB:Q29865,25-366
UniProtKB:Q29940,25-362
UniProtKB:Q29960,25-366
UniProtKB:Q29963,25-366
UniProtKB:Q29974,30-266
UniProtKB:Q29980,23-383
UniProtKB:Q29983,24-383
UniProtKB:Q29RF7,1-1337
UniProtKB:Q2I0M5,20-234
UniProtKB:Q2KJY2,1-2108
UniProtKB:Q2M1P5,1-1343
UniProtKB:Q2M1Z3,1-1444
UniProtKB:Q2M2I5,1-525
UniProtKB:Q2M2I8,1-961
UniProtKB:Q2M3G0,1-812
UniProtKB:Q2M3M2,1-681
UniProtKB:Q2M5E4,1-152
UniProtKB:Q2MJR0,1-410
UniProtKB:Q2MKA7,21-263
UniProtKB:Q2MV58,22-587
UniProtKB:Q2NKX8,1-1250
UniProtKB:Q2NL67,1-630
UniProtKB:Q2NL82,1-804
UniProtKB:Q2PPJ7,1-1873,Ser-486/Ser-696,MOD:00046|Thr-715,MOD:00047
UniProtKB:Q2PPJ7,1-1873
UniProtKB:Q2Q1W2,2-868
UniProtKB:Q2QD12,2-228
UniProtKB:Q2TAA5,1-492
UniProtKB:Q2TAC6,1-998
UniProtKB:Q2UY09,24-1125,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q2UY09,24-1125,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:Q2UY09,24-1125,Pro-null,MOD:00039
UniProtKB:Q2UY09,24-1125
UniProtKB:Q2UY09,24-1125,Lys-null,MOD:01914
UniProtKB:Q2UY09,24-1125,Lys-null,MOD:00162
UniProtKB:Q2UY09,24-1125,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:Q2UY09,24-1125,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q2UY09,24-1125,Lys-null,MOD:00037
UniProtKB:Q2UY09,24-1125,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q2UY09,24-1125,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:Q2UY09,24-1125,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:Q2VIQ3,1-1234
UniProtKB:Q2VPK5,2-515
UniProtKB:Q2Y0W8,1-1093
UniProtKB:Q2YD98,1-709
UniProtKB:Q30134,30-266
UniProtKB:Q30154,30-266
UniProtKB:Q30167,30-266
UniProtKB:Q30201,23-348
UniProtKB:Q30KP8,?-78
UniProtKB:Q30KP8,1-78
UniProtKB:Q30KP9,?-77
UniProtKB:Q30KP9,1-77
UniProtKB:Q30KQ1,?-61
UniProtKB:Q30KQ1,1-61
UniProtKB:Q30KQ3
UniProtKB:Q30KQ3,1-?
UniProtKB:Q30KQ4,?-102
UniProtKB:Q30KQ4,1-102
UniProtKB:Q30KQ5,?-88
UniProtKB:Q30KQ5,1-88
UniProtKB:Q30KQ6,?-69
UniProtKB:Q30KQ6,1-69
UniProtKB:Q30KQ7,?-82
UniProtKB:Q30KQ8,?-113
UniProtKB:Q30KQ8,1-113
UniProtKB:Q30KQ9,?-67
UniProtKB:Q30KQ9,1-67
UniProtKB:Q30KR1,1-?
UniProtKB:Q31610,25-362
UniProtKB:Q31612,25-363
UniProtKB:Q32M45,1-955
UniProtKB:Q32M78,1-642
UniProtKB:Q32MQ0,1-723
UniProtKB:Q32MZ4,1-249,Tyr-null/Tyr-766,MOD:00048
UniProtKB:Q32MZ4,1-249
UniProtKB:Q32MZ4,2-808
UniProtKB:Q32NB8,29-556
UniProtKB:Q32P28,23-736
UniProtKB:Q32P41,1-509
UniProtKB:Q32ZL2,1-321
UniProtKB:Q330K2,45-333
UniProtKB:Q3B726,1-338
UniProtKB:Q3I5F7,1-207
UniProtKB:Q3KNW5,1-377
UniProtKB:Q3KP31,1-576
UniProtKB:Q3KQV3,1-632
UniProtKB:Q3KRB8,1-267
UniProtKB:Q3L8U1,1-2897
UniProtKB:Q3LFD5,1-358
UniProtKB:Q3LHN0,1-102
UniProtKB:Q3LHN1,1-58
UniProtKB:Q3LHN2,1-52
UniProtKB:Q3LI54,1-63
UniProtKB:Q3LI58,1-79
UniProtKB:Q3LI59,1-83
UniProtKB:Q3LI61,1-65
UniProtKB:Q3LI63,1-56
UniProtKB:Q3LI64,1-71
UniProtKB:Q3LI66,1-62
UniProtKB:Q3LI67,1-103
UniProtKB:Q3LI70,1-58
UniProtKB:Q3LI72,1-72
UniProtKB:Q3LI73,1-84
UniProtKB:Q3LI76,1-137
UniProtKB:Q3LI77,1-160
UniProtKB:Q3LI81,1-207
UniProtKB:Q3LI83,1-254
UniProtKB:Q3LIE5,1-342
UniProtKB:Q3LXA3,1-575
UniProtKB:Q3MII6,1-688
UniProtKB:Q3MIS6,1-628
UniProtKB:Q3MIV0,1-48
UniProtKB:Q3MJ16,1-856
UniProtKB:Q3MUY2,1-71
UniProtKB:Q3SXY8,1-428
UniProtKB:Q3SXZ3,1-478
UniProtKB:Q3SXZ7,1-439
UniProtKB:Q3SY46,1-172
UniProtKB:Q3SY52,1-487
